Latitude,Longitude,Elevation,Name
-77.65250154342597,168.1586759634525,-16.172745454545456,Channel 158
-77.65252312355308,168.1589533772984,-16.1854,Channel 159
-77.65254470339995,168.15923079210137,-16.198054545454546,Channel 160
-77.65256628296657,168.15950820786142,-16.21070909090909,Channel 161
-77.65258786225291,168.15978562457855,-16.223363636363636,Channel 162
-77.652609441259,168.16006304225272,-16.23601818181818,Channel 163
-77.65263101998482,168.16034046088393,-16.248672727272726,Channel 164
-77.65265259843038,168.16061788047224,-16.261327272727275,Channel 165
-77.65267417659567,168.16089530101755,-16.27398181818182,Channel 166
-77.65269575448072,168.16117272251986,-16.286636363636365,Channel 167
-77.65271733208546,168.16145014497923,-16.29929090909091,Channel 168
-77.65273890940996,168.1617275683956,-16.311945454545455,Channel 169
-77.65276048645416,168.16200499276897,-16.3246,Channel 170
-77.6527820632181,168.16228241809938,-16.337254545454545,Channel 171
-77.65280363970174,168.16255984438672,-16.34990909090909,Channel 172
-77.65282521590517,168.16283727163108,-16.36256363636364,Channel 173
-77.65284679182825,168.1631146998324,-16.375218181818184,Channel 174
-77.65286836747109,168.1633921289907,-16.38787272727273,Channel 175
-77.65288994283364,168.16366955910595,-16.400527272727274,Channel 176
-77.6529115179159,168.16394699017818,-16.41318181818182,Channel 177
-77.65293309271787,168.16422442220733,-16.425836363636364,Channel 178
-77.65295466723958,168.1645018551934,-16.43849090909091,Channel 179
-77.65297624148099,168.1647792891364,-16.451145454545454,Channel 180
-77.65299781544208,168.16505672403636,-16.463800000000003,Channel 181
-77.65301938912292,168.16533415989323,-16.476454545454548,Channel 182
-77.65304096252346,168.16561159670695,-16.489109090909093,Channel 183
-77.65306253564368,168.16588903447763,-16.501763636363638,Channel 184
-77.65308410848364,168.16616647320518,-16.514418181818183,Channel 185
-77.65310568104329,168.16644391288963,-16.527072727272728,Channel 186
-77.65312725332264,168.16672135353093,-16.539727272727273,Channel 187
-77.65314882532171,168.1669987951291,-16.55238181818182,Channel 188
-77.65317039704043,168.16727623768415,-16.565036363636366,Channel 189
-77.65319196847888,168.16755368119604,-16.57769090909091,Channel 190
-77.65321353963702,168.16783112566478,-16.590345454545457,Channel 191
-77.65323511051484,168.16810857109036,-16.603,Channel 192
-77.65323511051484,168.16810857109036,-16.603,Channel 193
-77.65324072804842,168.16811569525495,-16.618625,Channel 194
-77.65324634558178,168.16812281942592,-16.63425,Channel 195
-77.65325196311493,168.16812994360322,-16.649875,Channel 196
