Latitude,Longitude,Elevation,Name
1378724.050895986,432022.80570303515,-14.476893939393939,Channel 118
1378729.9884490164,432024.5869227321,-14.559401515151514,Channel 119
1378735.9260020466,432026.3681424291,-14.64190909090909,Channel 120
1378741.8635550768,432028.1493621261,-14.724416666666666,Channel 121
1378747.8011081072,432029.93058182305,-14.806924242424241,Channel 122
1378753.7386611374,432031.71180152,-14.889431818181817,Channel 123
1378759.6762141678,432033.493021217,-14.971939393939392,Channel 124
1378765.613767198,432035.274240914,-15.054446969696968,Channel 125
1378771.5513202283,432037.05546061095,-15.136954545454545,Channel 126
1378777.4888732587,432038.83668030787,-15.21946212121212,Channel 127
1378783.426426289,432040.61790000484,-15.301969696969696,Channel 128
1378789.3639793193,432042.3991197018,-15.384477272727272,Channel 129
1378795.3015323495,432044.1803393988,-15.466984848484847,Channel 130
1378801.23908538,432045.96155909577,-15.549492424242423,Channel 131
1378807.1766384102,432047.74277879274,-15.632,Channel 132
1378807.1766384102,432047.74277879274,-15.632,Channel 133
1378808.8156384102,432050.96077879274,-15.723666666666666,Channel 134
1378810.4546384101,432054.17877879273,-15.815333333333333,Channel 135
1378812.09363841,432057.3967787927,-15.907,Channel 136
1378812.09363841,432057.3967787927,-15.907,Channel 137
1378810.008729319,432064.1282697018,-15.919654545454545,Channel 138
1378807.9238202283,432070.8597606109,-15.932309090909092,Channel 139
1378805.8389111373,432077.59125152,-15.944963636363637,Channel 140
1378803.7540020465,432084.3227424291,-15.957618181818182,Channel 141
1378801.6690929555,432091.05423333816,-15.970272727272727,Channel 142
1378799.5841838648,432097.7857242473,-15.982927272727274,Channel 143
1378797.4992747738,432104.51721515635,-15.995581818181819,Channel 144
1378795.4143656828,432111.24870606547,-16.008236363636364,Channel 145
1378793.329456592,432117.98019697453,-16.02089090909091,Channel 146
1378791.244547501,432124.71168788365,-16.033545454545454,Channel 147
1378789.1596384102,432131.4431787927,-16.0462,Channel 148
1378787.0747293192,432138.17466970184,-16.058854545454547,Channel 149
1378784.9898202282,432144.9061606109,-16.071509090909093,Channel 150
1378782.9049111374,432151.63765152,-16.084163636363638,Channel 151
1378780.8200020464,432158.3691424291,-16.096818181818183,Channel 152
1378778.7350929556,432165.1006333382,-16.109472727272728,Channel 153
1378776.6501838646,432171.8321242473,-16.122127272727273,Channel 154
1378774.5652747739,432178.5636151564,-16.134781818181818,Channel 155
1378772.4803656829,432185.29510606546,-16.147436363636363,Channel 156
1378770.3954565919,432192.0265969745,-16.16009090909091,Channel 157
1378768.310547501,432198.75808788365,-16.172745454545456,Channel 158
1378766.22563841,432205.4895787927,-16.1854,Channel 159
1378764.1407293193,432212.22106970183,-16.198054545454546,Channel 160
1378762.0558202283,432218.9525606109,-16.21070909090909,Channel 161
1378759.9709111373,432225.68405152,-16.223363636363636,Channel 162
1378757.8860020465,432232.4155424291,-16.23601818181818,Channel 163
1378755.8010929555,432239.1470333382,-16.248672727272726,Channel 164
1378753.7161838647,432245.87852424727,-16.261327272727275,Channel 165
1378751.6312747737,432252.6100151564,-16.27398181818182,Channel 166
1378749.546365683,432259.34150606545,-16.286636363636365,Channel 167
1378747.461456592,432266.0729969746,-16.29929090909091,Channel 168
1378745.376547501,432272.80448788364,-16.311945454545455,Channel 169
1378743.2916384102,432279.53597879276,-16.3246,Channel 170
1378741.2067293192,432286.2674697018,-16.337254545454545,Channel 171
1378739.1218202284,432292.99896061094,-16.34990909090909,Channel 172
1378737.0369111374,432299.73045152,-16.36256363636364,Channel 173
1378734.9520020464,432306.4619424291,-16.375218181818184,Channel 174
1378732.8670929556,432313.1934333382,-16.38787272727273,Channel 175
1378730.7821838646,432319.92492424726,-16.400527272727274,Channel 176
1378728.6972747738,432326.6564151564,-16.41318181818182,Channel 177
1378726.6123656828,432333.38790606544,-16.425836363636364,Channel 178
